Genome ID,Genotype ID,Allele
14,6,177145384
15,3,169050711
28,4,175107109
29,8,"178630931,169012513"
46,6,177145384
47,0,
58,11,182056241
59,5,175774909
74,0,
75,5,175774909
94,0,
95,6,177145384
100,13,"182351606,169012513"
101,5,175774909
142,0,
143,7,177389273
178,5,175774909
179,8,"178630931,169012513"
272,0,
273,5,175774909
284,6,177145384
285,4,175107109
312,10,181793689
313,6,177145384
338,6,177145384
339,0,
362,7,177389273
363,5,175774909
382,0,
383,6,177145384
390,6,177145384
391,3,169050711
396,7,177389273
397,0,
398,6,177145384
399,0,
438,6,177145384
439,5,175774909
450,5,175774909
451,8,"178630931,169012513"
466,0,
467,9,180718969
476,0,
477,7,177389273
496,5,175774909
497,7,177389273
498,6,177145384
499,8,"178630931,169012513"
506,0,
507,5,175774909
518,8,"178630931,169012513"
519,5,175774909
544,6,177145384
545,0,
566,0,
567,6,177145384
572,6,177145384
573,8,"178630931,169012513"
576,10,181793689
577,7,177389273
584,0,
585,5,175774909
588,6,177145384
589,6,177145384
606,8,"178630931,169012513"
607,6,177145384
622,7,177389273
623,9,180718969
660,0,
661,5,175774909
668,0,
669,9,180718969
690,5,175774909
691,7,177389273
692,5,175774909
693,8,"178630931,169012513"
706,0,
707,0,
766,7,177389273
767,0,
774,8,"178630931,169012513"
775,5,175774909
792,9,180718969
793,6,177145384
806,7,177389273
807,5,175774909
818,5,175774909
819,0,
876,0,
877,9,180718969
880,5,175774909
881,0,
882,0,
883,3,169050711
896,6,177145384
897,6,177145384
938,5,175774909
939,8,"178630931,169012513"
946,4,175107109
947,4,175107109
964,3,169050711
965,5,175774909
998,0,
999,6,177145384
1028,6,177145384
1029,0,
1036,4,175107109
1037,8,"178630931,169012513"
1042,4,175107109
1043,0,
1072,4,175107109
1073,6,177145384
1082,5,175774909
1083,4,175107109
1098,0,
1099,7,177389273
1118,6,177145384
1119,9,180718969
1128,9,180718969
1129,6,177145384
1132,0,
1133,5,175774909
1144,5,175774909
1145,0,
1158,0,
1159,6,177145384
1188,10,181793689
1189,6,177145384
1224,0,
1225,5,175774909
1236,3,169050711
1237,5,175774909
1246,0,
1247,7,177389273
1272,4,175107109
1273,0,
1290,5,175774909
1291,5,175774909
1300,5,175774909
1301,0,
1314,5,175774909
1315,5,175774909
1388,5,175774909
1389,0,
1422,5,175774909
1423,5,175774909
1432,0,
1433,6,177145384
1444,3,169050711
1445,6,177145384
1462,0,
1463,4,175107109
1474,9,180718969
1475,5,175774909
1550,7,177389273
1551,6,177145384
1656,5,175774909
1657,8,"178630931,169012513"
1662,6,177145384
1663,5,175774909
1678,6,177145384
1679,7,177389273
1716,0,
1717,6,177145384
1728,6,177145384
1729,6,177145384
1740,0,
1741,0,
1756,6,177145384
1757,0,
1798,9,180718969
1799,6,177145384
1806,0,
1807,0,
1836,9,180718969
1837,5,175774909
1860,5,175774909
1861,3,169050711
1864,6,177145384
1865,6,177145384
1872,6,177145384
1873,6,177145384
1886,6,177145384
1887,6,177145384
1888,0,
1889,5,175774909
1898,0,
1899,5,175774909
1906,5,175774909
1907,6,177145384
1932,8,"178630931,169012513"
1933,6,177145384
1942,0,
1943,5,175774909
1948,0,
1949,7,177389273
1972,0,
1973,3,169050711
1996,5,175774909
1997,0,
