n1,n2,n3,n4,Ns,mu,label
24,14,12,10,106,0.00025,1_13_1000_0.00025_2.5e-05_0.5_100
25,18,12,8,94,0.0025,1_16_1000_0.0025_2.5e-05_0.5_100
70,22,10,7,115,0.00025,1_15_1000_0.00025_0.0025_0.5_100
43,16,13,6,108,0.00025,1_14_1000_0.00025_0.00025_0.5_100
42,21,9,4,94,0.0025,1_17_1000_0.0025_0.00025_0.5_100
63,26,14,11,132,0.00025,1_15_1000_0.00025_0.0025_0.7_100
39,25,20,13,149,0.00025,1_14_1000_0.00025_0.00025_0.7_100
17,10,8,5,142,0.00025,1_13_1000_0.00025_2.5e-05_0.7_100
36,23,18,15,146,0.0025,1_17_1000_0.0025_0.00025_0.7_100
28,19,13,11,143,0.0025,1_16_1000_0.0025_2.5e-05_0.7_100
31,14,10,9,98,0.0025,2_16_1000_0.0025_2.5e-05_0.5_100
41,21,15,6,94,0.0025,2_17_1000_0.0025_0.00025_0.5_100
20,9,7,7,98,0.00025,2_13_1000_0.00025_2.5e-05_0.5_100
70,16,6,4,98,0.00025,2_15_1000_0.00025_0.0025_0.5_100
37,16,12,10,99,0.00025,2_14_1000_0.00025_0.00025_0.5_100
21,16,12,9,144,0.00025,2_13_1000_0.00025_2.5e-05_0.7_100
35,19,16,13,145,0.00025,2_14_1000_0.00025_0.00025_0.7_100
72,33,16,9,141,0.00025,2_15_1000_0.00025_0.0025_0.7_100
26,20,13,11,143,0.0025,2_16_1000_0.0025_2.5e-05_0.7_100
27,12,10,7,101,0.0025,3_16_1000_0.0025_2.5e-05_0.5_100
38,24,15,9,96,0.0025,3_17_1000_0.0025_0.00025_0.5_100
63,27,17,9,148,0.00025,3_14_1000_0.00025_0.00025_0.7_100
26,14,8,7,105,0.00025,4_13_1000_0.00025_2.5e-05_0.5_100
29,19,10,10,102,0.0025,4_16_1000_0.0025_2.5e-05_0.5_100
29,18,13,9,93,0.00025,4_14_1000_0.00025_0.00025_0.5_100
62,23,9,2,96,0.00025,4_15_1000_0.00025_0.0025_0.5_100
42,23,12,8,106,0.0025,4_17_1000_0.0025_0.00025_0.5_100
50,31,17,12,143,0.0025,4_17_1000_0.0025_0.00025_0.7_100
69,37,19,13,150,0.00025,4_15_1000_0.00025_0.0025_0.7_100
51,29,15,12,141,0.00025,4_14_1000_0.00025_0.00025_0.7_100
32,20,14,13,159,0.0025,4_16_1000_0.0025_2.5e-05_0.7_100
18,14,9,8,142,0.00025,4_13_1000_0.00025_2.5e-05_0.7_100
19,12,11,8,111,0.00025,5_13_1000_0.00025_2.5e-05_0.5_100
58,23,9,4,106,0.00025,5_15_1000_0.00025_0.0025_0.5_100
32,18,13,10,107,0.0025,5_16_1000_0.0025_2.5e-05_0.5_100
44,20,13,9,99,0.00025,5_14_1000_0.00025_0.00025_0.5_100
45,23,14,7,106,0.0025,5_17_1000_0.0025_0.00025_0.5_100
32,23,13,10,147,0.0025,5_16_1000_0.0025_2.5e-05_0.7_100
20,11,9,7,144,0.00025,5_13_1000_0.00025_2.5e-05_0.7_100
69,31,15,8,136,0.00025,5_15_1000_0.00025_0.0025_0.7_100
44,35,22,13,142,0.00025,5_14_1000_0.00025_0.00025_0.7_100
41,12,7,6,85,0.00025,6_14_1000_0.00025_0.00025_0.5_100
25,16,10,7,100,0.00025,6_13_1000_0.00025_2.5e-05_0.5_100
52,24,7,3,95,0.00025,6_15_1000_0.00025_0.0025_0.5_100
49,30,19,11,153,0.0025,5_17_1000_0.0025_0.00025_0.7_100
30,16,12,10,111,0.0025,6_16_1000_0.0025_2.5e-05_0.5_100
54,29,16,11,138,0.00025,6_15_1000_0.00025_0.0025_0.7_100
38,20,9,7,134,0.00025,6_14_1000_0.00025_0.00025_0.7_100
44,28,14,10,100,0.0025,6_17_1000_0.0025_0.00025_0.5_100
46,26,16,11,133,0.0025,6_17_1000_0.0025_0.00025_0.7_100
27,18,12,11,148,0.00025,6_13_1000_0.00025_2.5e-05_0.7_100
39,22,11,8,93,0.00025,7_14_1000_0.00025_0.00025_0.5_100
20,14,13,10,139,0.0025,6_16_1000_0.0025_2.5e-05_0.7_100
41,22,15,10,110,0.0025,7_17_1000_0.0025_0.00025_0.5_100
21,16,12,9,103,0.00025,7_13_1000_0.00025_2.5e-05_0.5_100
33,20,10,7,110,0.0025,7_16_1000_0.0025_2.5e-05_0.5_100
71,31,13,7,146,0.00025,7_15_1000_0.00025_0.0025_0.7_100
59,20,6,4,97,0.00025,7_15_1000_0.00025_0.0025_0.5_100
27,17,13,10,133,0.0025,7_16_1000_0.0025_2.5e-05_0.7_100
43,23,15,9,139,0.00025,7_14_1000_0.00025_0.00025_0.7_100
46,27,20,15,137,0.0025,2_17_1000_0.0025_0.00025_0.7
25,15,12,10,102,0.00025,3_13_1000_0.00025_2.5e-05_0.5
21,13,11,8,140,0.00025,3_13_1000_0.00025_2.5e-05_0.7
70,21,3,1,96,0.00025,3_15_1000_0.00025_0.0025_0.5
72,36,14,8,139,0.00025,3_15_1000_0.00025_0.0025_0.7
28,19,13,11,141,0.0025,3_16_1000_0.0025_2.5e-05_0.7
44,25,21,14,150,0.0025,3_17_1000_0.0025_0.00025_0.7
19,12,9,8,151,0.00025,7_13_1000_0.00025_2.5e-05_0.7
